id;agencia;conta;digito_agencia;digito_conta;principal;contador_id;banco_id
1;zowie;dagger now;gee;off;false;1;1
2;empty instead rear;quantify whoa;vice quicksand;that;false;2;2
3;ultimately that oof;notwithstanding inhabit;when yearly;yet;false;3;3
4;till incompetence spotless;blissful pasteurize;buttress fourths justly;plate equally jaggedly;false;4;4
5;nimble combine portend;grubby misbehave programming;except despite;gadzooks;true;5;5
6;harry geez um;since how;far rearrange;surface queasily near;false;6;6
7;frequent provided lest;rapidly where sunroom;boo;minor properly phosphate;true;7;7
8;plus mmm flight;spotted update;nightlife after;dinner;true;8;8
9;magnetize demonize;across suffer;natter smuggle from;aw nearly fairly;true;9;9
10;worriedly till;acidly warm recklessly;than wholly including;inferior boohoo hmph;false;10;10
