id;agencia;conta;tipo_conta;principal;pessoa_id;banco_id
1;rhapsodise far who;occlude but;CONTASALARIO;true;1;1
2;blink blister;blah classic unlike;CONTACORRENTE;false;2;2
3;once;likewise;CONTAPOUPANCA;true;3;3
4;bake adventurously damp;clean item;CONTASALARIO;true;4;4
5;busily alarmed ethical;however;CONTASALARIO;true;5;5
6;whether volume smooth;incidentally as incidentally;CONTAPOUPANCA;true;6;6
7;absorb regular but;whoever beard afforest;CONTACORRENTE;true;7;7
8;hourly;but especially;CONTACORRENTE;false;8;8
9;ah fancy reinvigorate;foot across though;CONTAPOUPANCA;false;9;9
10;barren awkwardly besides;yummy off;CONTAPOUPANCA;true;10;10
