id;nome;cpf;data_nascimento;titulo_eleitor;rg;rg_orgao_expeditor;rg_uf_expedicao;nome_mae;nome_pai;local_nascimento;raca_e_cor;pessoa_com_deficiencia;estado_civil;sexo;url_foto_perfil;rg_orgao_expditor;crc;limite_empresas;limite_area_contabils;limite_faturamento;limite_departamentos;situacao_contador
1;pastel anarchy irritably;boohoo;but speculate;25648;supposing ;kindheartedly until;rustle ick;minus;residence unless;principle blag over;PARDO;DEFICIENCIAAUDITIVA;CASADO;MASCULINO;swan elevation inside;chainstay;ringed clutch;26397;20813;8377.03;29994;HABILITADO
2;blindly but;indeed;walrus;7838;furthermor;model who;um;cashier unaccountably speedily;behind um rectangular;recompense harpoon;NEGRO;NAOPOSSUI;CASADO;FEMININO;identify reflecting female;maestro briefly blur;to;12533;27379;18171.13;4154;PENDENTE
3;ascertain;subconscious alongside;politely;29642;especially;sweet gadzooks;ultimately cc potentially;unlike;mmm;bah checkroom;NAOINFORMADO;DEFICIENCIAVISUAL;DIVORCIADO;MASCULINO;unfinished;warmly lest referendum;whoa;6041;1727;8077.52;15763;BANIDO
4;searchingly;scarcely;surprisingly so;7367;unto excep;gosh windy;ew seaside;easily blouse faucet;aching calcify obnoxiously;jubilant yet impound;INDIGENA;DEFICIENCIAVISUAL;UNIAOESTAVEL;FEMININO;around;factory really;birthday philosophise;26264;20807;31810.46;22177;BLOQUEADO
5;wren archeology during;bribe although;powerless cater;21696;tyrannize ;direct all;while equally firm;if faculty ack;impossible phooey yum;treasury;INDIGENA;REABILITADO;VIUVO;FEMININO;who after;than;greedy pungent amongst;23092;22550;12198.64;20286;INAPTO
6;until;apparel;mostly graceful;137;requisitio;luxury gee wrongly;meh;regularly instead;pretest;colorful reliable;NEGRO;DEFICIENCIAVISUAL;CASADO;FEMININO;owlishly via;cloudy seldom;woot midst indoctrinate;9891;24942;10663.06;23419;HABILITADO
7;handmade applause;upon yuck hm;gauge;17712;archaeolog;trafficker ironclad;while about;disassociate musty;tart;but frankly optimistic;AMARELA;DEFICIENCIAAUDITIVA;VIUVO;FEMININO;ah mouse viciously;samovar gah;fiberglass which row;27461;14639;22703.84;24061;INAPTO
8;patiently study;delightfully;wildly brick pl;32192;horseradis;parade an;embody;kookily when;lovely lamp yum;toward high;NAOINFORMADO;DEFICIENCIAAUDITIVA;VIUVO;MASCULINO;unaccountably ouch;throughout;when absent ha;11934;18164;19199.11;27321;SUSPENSO
9;whoa simulate;cleverly biodegradable;astride aw;30815;violet ind;since delicious package;purity invoice crane;plus curiously circumference;floodplain variable;bumpy till;AMARELA;DEFICIENCIAAUDITIVA;VIUVO;MASCULINO;phew blah;boohoo woot;ha up siphon;5513;220;12603.74;1813;INATIVO
10;cigarette;display;label;7723;likewise;deliberation denominate;gah finally;famously;what;milestone meanwhile jubilantly;NAOINFORMADO;REABILITADO;DIVORCIADO;MASCULINO;pro requite;brake till;activist;18339;9411;1292.04;30818;INATIVO
