id;salario_fixo;salario_variavel;estagio;natureza_estagio_enum;ctps;serie_ctps;orgao_emissor_documento;data_validade_documento;data_admissao;cargo;descricao_atividades;situacao;valor_salario_fixo;valor_salario_variavel;data_termino_contrato;datainicio_contrato;horas_a_trabalhadar;codigo_cargo;categoria_trabalhador;tipo_vinculo_trabalho;fgts_opcao;t_ipo_documento_enum;periodo_experiencia;tipo_admisao_enum;periodo_intermitente;indicativo_admissao;numero_pis_nis_pasep;funcionario_id
1;true;false;false;NAOOBRIGATORIO;bah;9537;officially kindhearted kissingly;scope;proper;er indeed gosh;../fake-data/blob/hipster.txt;CANCELADO;subtle ethernet overconfidently;huzzah eek fairly;mallet;beneath;31907;unexpected;EMPREGADO;RURAL;OPTANTE;RG;TRINTA;ADMISSAO;UMANODOISMESES;NORMAL;30166;1
2;true;true;true;NAOOBRIGATORIO;incidentally prose;14734;finished cruel;combine diligently youthfully;politely;whispered;../fake-data/blob/hipster.txt;DEMISSAOEMANDAMENTO;ha next swagger;toward;boohoo adventurously rise;geez;191;muddle;EMPREGADO;URBANO;OPTANTE;CNH;QUINZE;SUCESSAO;UMANOSEISMESES;NORMAL;17588;2
3;false;false;true;OBRIGATORIO;thoroughly lucky;21698;why colligate;upwardly;pleasing;lovingly;../fake-data/blob/hipster.txt;DEMISSAOEMANDAMENTO;reach;unlike;curdle mouser;outside;3229;belt quizz;EMPREGADO;RURAL;NAOOPTANTE;RIC;QUINZE;TRANSFERENCIA;UMANODOZEMESES;NORMAL;6378;3
4;false;true;true;NAOOBRIGATORIO;which;26173;laud briefly;uh-huh tennis intently;over;plus after gravity;../fake-data/blob/hipster.txt;BAIXASOLICITADA;gah ew;squat;chair;supposing eek spanish;2254;yowza atop;EMPREGADO;RURAL;OPTANTE;RNE;NOVENTA;INCORPORACAO;UMANOANOQUATROMESES;NORMAL;31111;4
5;true;true;false;OBRIGATORIO;switch phew;24520;hence actually;demilitarise boastfully;oof fray;too;../fake-data/blob/hipster.txt;DEMITIDO;because consequently paralyze;acidify even;coaxingly;than often;7636;opposite;ESTAGIARIO;RURAL;NAOOPTANTE;RG;NOVENTA;CEDIDO;QUATROMESES;DECISAOJUDICIAL;3934;5
6;false;true;false;NAOOBRIGATORIO;given;195;annihilate;lobster;manipulate shameless;keyboarding huzzah;../fake-data/blob/hipster.txt;EXPERIENCIA;helpless;refusal resist quick;huzzah;if;18630;trial musi;ESTAGIARIO;URBANO;NAOOPTANTE;OC;TRINTA;TRANSFERENCIA;NOVEMESES;NORMAL;29533;6
7;true;true;false;NAOOBRIGATORIO;qua ah;8552;hm till;geez radiant what;meanwhile mortify gee;monumental;../fake-data/blob/hipster.txt;ADMISSAOEMANDAMENTO;past detector;what private excepting;between focus;among more armament;30457;rosy;ESTAGIARIO;RURAL;OPTANTE;RIC;TRINTA;SUCESSAO;UMANOANOQUATROMESES;ACAOFISCAL;485;7
8;false;false;true;OBRIGATORIO;hmph usefully;20106;involvement sadly woot;ouch bin;buttress;shakedown bulldozer fuss;../fake-data/blob/hipster.txt;DEMITIDOJUSTACAUSA;upon following;puzzle sweetly calmly;downgrade unless ban;nervously;10385;verbalise ;EMPREGADO;URBANO;NAOOPTANTE;OC;TRINTA;INCORPORACAO;UMANOANOTRESMESES;ACAOFISCAL;15644;8
9;true;false;true;NAOOBRIGATORIO;huzzah;4929;very than antennae;pomelo;intent why aw;hopelessly;../fake-data/blob/hipster.txt;CANCELAMENTOSOLICTAIDO;eek since;about;whenever daily psst;sleeping if;9704;loyally;EMPREGADO;URBANO;OPTANTE;OC;QUINZE;INCORPORACAO;DOZEMESES;DECISAOJUDICIAL;2224;9
10;true;true;false;NAOOBRIGATORIO;ginger instead crepe;24687;verbally;lawful;rapidly photographer;toward ah zowie;../fake-data/blob/hipster.txt;ADMISSAOEMANDAMENTO;dehumanise;versus opulent questionably;ick wonderfully as;considering crepe;2233;habitat;EMPREGADO;RURAL;NAOOPTANTE;RIC;QUINZE;ADMISSAO;SETEMESES;DECISAOJUDICIAL;16856;10
