id;numero_certidao_obito;cnpj_empresa_sucessora;saldo_fgts;valor_pensao;valor_pensao_fgts;percentual_pensao;percentual_fgts;dias_aviso_previo;data_aviso_previo;data_pagamento;data_afastamento;url_demissional;calcular_recisao;pagar_13_recisao;jornada_trabalho_cumprida_semana;sabado_compesado;novo_vinculo_comprovado;dispensa_aviso_previo;fgts_arrecadado_guia;aviso_previo_trabalhado_recebido;recolher_fgts_mes_anterior;aviso_previo_indenizado;cumprimento_aviso_previo;aviso_previo;situacao_demissao;tipo_demissao;funcionario_id
1;yuck;instead;given schnitzel while;untrue given;past;through necklace;versus very dictaphone;24778;soul brr;anterior aside;about;tiny fooey;false;false;false;true;false;false;false;false;true;false;15283;NAOPOSSUI;PAGO;DESPEDIDASEMJUSTACAUSA;1
2;storm oof espadrille;wherever node refinance;nosedive shocked;now;wiry;wine irresponsible;cultured webmail unwelcome;26210;boo;placode smith evaluator;notwithstanding;instead an;true;true;true;true;false;true;false;true;true;true;264;VINTEDIAS;FINALIZADO;ACORDO;2
3;spectacles until outside;shimmy foodstuffs gosh;resist hideous;uniform cope crawl;half-brother;ha yet;an;18259;second-hand enchanting softball;likewise valiantly;pat ack;alternative;true;true;true;false;false;true;false;false;false;true;31366;TRINTADIAS;GERADO;CONSENSUAL;3
4;hm indeed;forthright embalm;since relative to;punctual;kindheartedly disestablish;entomb seller quizzically;far-flung yum anenst;32483;attached ugh;diagram;furthermore;decontrol ferociously reproachfully;false;false;true;true;true;false;true;true;false;false;1564;VINTEDIAS;EMANDAMENTO;ACORDO;4
5;even oof;mature courageously hidden;aw yum;fidget toward;accelerator;physical thoroughly;harbour;32620;geez;but tow-truck roll;best prospect;strap rigidly;true;false;true;true;true;false;false;true;true;false;5447;NAOPOSSUI;PAGO;PEDIDO;5
6;jumbo;perky;necessary fooey surprisingly;spit;so how blindfolded;boohoo cleverly athwart;limited;1956;controvert wisely consulting;yuck despite drat;alarm whoosh;past to gee;true;true;false;false;false;false;false;false;true;true;25471;VINTEDIAS;ABERTO;RECISAOANTECIPADA;6
7;willfully tooth disrobe;approach judicious;voluminous ick rarely;aha wetly;aboard incidentally encirclement;each excepting integrate;gray when characterize;30473;oh furthermore stale;but;notwithstanding insubstantial;dull instead;true;true;false;false;true;true;true;false;true;true;2904;VINTEDIAS;REMOVIDO;FALECIMENTOEMPREGADO;7
8;appropriate what;voting next restfully;but;gee whenever;about;past blush commonly;why;12935;which detect;functional;stipulate drat even;drat marsh empty;true;false;false;false;false;true;true;true;true;false;16213;NAOPOSSUI;SOLICITADO;PEDIDO;8
9;bah above brr;in;mmm versus trick;whereas;aha;sleeping wannabe mid;yahoo;697;immediately oh solidly;as;ha gosh whereas;gadzooks but;true;true;true;false;true;false;true;false;true;false;29678;TRINTADIAS;DEMISSAOEMANDAMENTO;JUSTACAUSA;9
10;physically;round;near likewise menacing;meat for;coordination;however however;roast;20477;anorak although clothe;militarize bend besides;gladly;if aw sympathetically;false;true;true;true;true;false;false;true;false;false;26505;VINTEDIAS;FINALIZADO;FALECIMENTOEMPREGADO;10
