id;logradouro;numero;complemento;bairro;cep;principal;pessoa_id;cidade_id
1;huddle coaxingly;strident thirsty;webpage at gullible;floss commonly;merit pfft;true;1;1
2;pro;definite;opulent woot unless;before;percent boo worth;true;2;2
3;outshine unexpectedly;emulsify though;slob;snarling fisherman pointless;useful;true;3;3
4;woefully hmph across;dreamily beneficiary;yahoo tan chief;redial productive tasty;aha;true;4;4
5;reassemble;preparation;uh-huh offensively initial;enormously;stitch willfully;true;5;5
6;though;when;solemnise starve woot;dreamer fatally gadzooks;across;false;6;6
7;unimpressively woot;near as;worriedly more punish;terribly;gah gadzooks;true;7;7
8;clever pfft;grandiose ouch;except garment;equal harangue;resell while gosh;false;8;8
9;hm;lump;owlishly second;whereas;psst quit;true;9;9
10;for;which supposing often;inquisitively coach;as;motionless militate;false;10;10
