id;numero_pis_nis_pasep;reintegrado;primeiro_emprego;multiplo_vinculos;data_opcao_fgts;filiacao_sindical;cnpj_sindicato;tipo_funcionario_enum;usuario_empresa_id;pessoa_id;empresa_id;profissao_id
1;15511;true;false;true;outvote after;false;that how among;ESTAGIARIO;1;1;1;1
2;32706;false;false;false;warlike;true;carefully;NORMAL;2;2;2;2
3;26092;false;true;true;where thoughtfully mobster;true;black-and-white drat;NORMAL;3;3;3;3
4;23897;false;true;false;kissingly;true;between;NORMAL;4;4;4;4
5;21298;false;true;false;tunnel as;true;ah workforce;ESTAGIARIO;5;5;5;5
6;11186;false;true;true;spattering;true;at lionize or;NORMAL;6;6;6;6
7;10864;true;true;true;flashy;false;tender mortar offbea;ESTAGIARIO;7;7;7;7
8;20540;true;true;false;through;false;notwithstanding inci;ESTAGIARIO;8;8;8;8
9;2842;false;false;false;disposition concerning;false;waylay polarisation;NORMAL;9;9;9;9
10;9610;false;true;true;near along memorable;true;er inquisitively est;ESTAGIARIO;10;10;10;10
