id;nome;cpf;data_nascimento;titulo_eleitor;rg;rg_orgao_expditor;rg_uf_expedicao;estado_civil;sexo;url_foto_perfil
1;tote lasting needily;wasp while nice;2024-08-28T04:44:40;where authorize;ordinary exist pish;boot testimony carburize;amongst;SOLTERO;MASCULINO;heavily
2;while sorrowful outside;trap gadzooks whether;2024-08-28T10:28:19;crave repatriate;generate noisily wetly;ready eaves obediently;snarling;CASADO;FEMININO;before aw cascade
3;grease casket;display inside;2024-08-28T17:03:49;since;belabour;rigidly;plowman;SOLTERO;FEMININO;fold
4;violet;meh;2024-08-27T19:56:53;how;leadership;next dependable;trek;UNIAO_ESTAVEL;MASCULINO;along misunderstand
5;albatross italicize icon;giving conductor;2024-08-28T09:07:13;ick theology;behaviour assembly;modulo greatly;assured;CASADO;FEMININO;substantial erode blindly
6;divorce;near;2024-08-28T06:02:41;thoroughly early;yahoo er;by;discipline shoplift;UNIAO_ESTAVEL;MASCULINO;counsellor
7;noir boldly;bug;2024-08-27T23:17:09;offbeat squiggly;near;pitch yowza vainly;as during hospitalise;SOLTERO;MASCULINO;yum previous buttery
8;pointed;fooey;2024-08-28T09:41:57;bitterly transpose hmph;ultimately colorful burly;tightly;interrupt;DIVORCIADO;MASCULINO;wherever far hair
9;certify meeting among;untimely eek;2024-08-28T04:49:09;yawningly;amongst;down;hmph criminal gracious;VIUVO;MASCULINO;wingtip like
10;more;an amongst;2024-08-28T02:05:14;unless maiden;furthermore mmm rarely;a the excitedly;company until double;CASADO;MASCULINO;however
