id;codigo_area;telefone;principla;tipo_telefone;pessoa_id
1;and half;phew witty;false;WHATSAPP;1
2;whose;meh;false;CELULAR;2
3;yuck;via meh nor;true;RESIDENCIAL;3
4;plunk within poorly;eek;true;COMERCIAL;4
5;whose duh pish;so interrelate;true;RESIDENCIAL;5
6;unleash;colonisation phooey gee;false;WHATSAPP;6
7;pro vice depress;times mainstream;true;CELULAR;7
8;choreograph;old-fashioned generously equally;false;RESIDENCIAL;8
9;monthly saucer;amongst soon punctually;true;COMERCIAL;9
10;brr;wake;true;COMERCIAL;10
