id;email;senha;token;ativo;data_hora_ativacao;data_limite_acesso;situacao_usuario_empresa;tipo_usuario_empresa_enum;assinatura_empresa_id
1;Clara.Carvalho@bol.com.br;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2024-08-12T12:40:12;2024-08-13T05:17:45;BLOQUEADO;SOCIO;1
2;Marcelo.Saraiva5@yahoo.com;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2024-08-12T18:19:01;2024-08-12T14:24:46;EXCLUIDO;SOCIO;2
3;Pietro.Costa37@hotmail.com;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2024-08-12T12:58:13;2024-08-12T20:11:07;EXCLUIDO;SOCIO;3
4;Giovanna53@gmail.com;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2024-08-12T08:37:02;2024-08-12T21:33:32;EXCLUIDO;FUNCIONARIO;4
5;Isabel_Silva@gmail.com;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2024-08-12T19:40:32;2024-08-12T20:16:07;EXCLUIDO;FUNCIONARIO;5
6;Guilherme.Souza@yahoo.com;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2024-08-12T19:00:48;2024-08-12T11:09:03;BLOQUEADO;FUNCIONARIO;6
7;Danilo.Melo@bol.com.br;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2024-08-12T20:08:41;2024-08-12T09:52:34;INATIVO;FUNCIONARIO;7
8;Lavinia.Franco3@live.com;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2024-08-12T22:17:22;2024-08-12T20:00:57;INATIVO;FUNCIONARIO;8
9;Sara62@hotmail.com;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2024-08-12T08:02:27;2024-08-13T03:47:39;EXCLUIDO;SOCIO;9
10;Daniel.Xavier@gmail.com;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2024-08-12T10:26:45;2024-08-12T12:55:19;BLOQUEADO;FUNCIONARIO;10
