id;email;senha;data_hora_ativacao;data_limite_acesso;situacao;administrador_id
1;Lavinia_Macedo@bol.com.br;../fake-data/blob/hipster.txt;2024-08-09T23:43:12;2024-08-09T05:28:43;BLOQUEADO;1
2;Ricardo.Reis96@gmail.com;../fake-data/blob/hipster.txt;2024-08-09T06:50:13;2024-08-10T01:46:59;ATIVO;2
3;Antonella69@yahoo.com;../fake-data/blob/hipster.txt;2024-08-09T04:28:09;2024-08-10T02:59:22;BLOQUEADO;3
4;Daniel.Macedo38@yahoo.com;../fake-data/blob/hipster.txt;2024-08-09T10:33:13;2024-08-09T19:20:57;ATIVO;4
5;Caua.Carvalho@live.com;../fake-data/blob/hipster.txt;2024-08-09T06:45:57;2024-08-09T08:57:46;ATIVO;5
6;Enzo.Carvalho82@yahoo.com;../fake-data/blob/hipster.txt;2024-08-09T15:41:45;2024-08-09T13:30:01;BLOQUEADO;6
7;Murilo.Reis12@gmail.com;../fake-data/blob/hipster.txt;2024-08-09T18:23:33;2024-08-09T15:09:57;INATIVO;7
8;Warley.Albuquerque47@bol.com.br;../fake-data/blob/hipster.txt;2024-08-09T23:23:59;2024-08-09T11:21:09;INATIVO;8
9;JoaoMiguel_Moraes@gmail.com;../fake-data/blob/hipster.txt;2024-08-09T22:23:07;2024-08-09T11:28:53;BLOQUEADO;9
10;Caio.Melo29@gmail.com;../fake-data/blob/hipster.txt;2024-08-09T10:00:44;2024-08-10T01:17:47;EXCLUIDO;10
